Student,Courses
Thanh Villanueva,"{'Programming Paradigms', 'Computer Systems', 'Introduction to Visual Computing', 'Audio and Video Production', 'Fundamentals of Digital Systems', 'Logic programming and constraints', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Beatrice Daniel,"{'Logic for Knowledge Representation', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Audio and Video Production', 'Fundamentals of Digital Systems', 'Operating Systems'}"
Henrietta Watts,"{'Argumentation and Proof', 'Introduction to Artificial Intelligence', 'Operating Systems', 'Introduction to Machine Learning'}"
Brandon Sims,"{'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Efficient Algorithms', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Parallel Computing', 'Functional Programming', 'Fundamentals of Digital Systems', 'Logic programming and constraints', 'Operating Systems'}"
Renee Stanley,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Computer Systems', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Operating Systems', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Lessie Tate,"{'Algorithms and Data Structures', 'Argumentation and Proof', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Abstract Machines', 'Introduction to Programming 1'}"
Kasey Gardner,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Visual Computing', 'Fundamentals of Digital Systems', 'Logic programming and constraints', 'Operating Systems'}"
Lawanda Davila,"{'Computer Systems', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Abstract Machines', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Stefanie Warren,"{'Programming Paradigms', 'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Parallel Computing', 'Fundamentals of Digital Systems'}"
Hannah Riley,"{'Fundamentals of Digital Systems', 'Programming Paradigms', 'Logic for Knowledge Representation', 'Logic and Foundations of Mathematics'}"
Lizzie Simpson,"{'Introduction to Machine Learning', 'Introduction to Artificial Intelligence', 'Logic and Foundations of Mathematics', 'Logic programming and constraints', 'Operating Systems'}"
Oliver York,"{'Algorithms and Data Structures', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Logic programming and constraints', 'Operating Systems'}"
Kaitlin Ramirez,"{'Parallel Computing', 'Abstract Machines', 'Operating Systems', 'Fundamentals of Digital Systems', 'Functional Programming'}"
Vince Mcneil,"{'Programming Paradigms', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Lorene Santos,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Introduction to Visual Computing', 'Audio and Video Production', 'Abstract Machines', 'Parallel Computing', 'Logic and Foundations of Mathematics'}"
Shana Cuevas,"{'Introduction to Visual Computing', 'Logic programming and constraints', 'Logic and Reasoning in Computer Science', 'Efficient Algorithms'}"
Cary Hebert,"{'Logic for Knowledge Representation', 'Efficient Algorithms', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Fundamentals of Digital Systems'}"
Ike Mullins,"{'Efficient Algorithms', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Fundamentals of Digital Systems'}"
Devon Irwin,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Operating Systems'}"
Ervin Bean,"{'Programming Paradigms', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Efficient Algorithms', 'Introduction to Programming 2', 'Abstract Machines', 'Parallel Computing', 'Introduction to Programming 1', 'Functional Programming'}"
Brendan Hahn,"{'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Introduction to Visual Computing', 'Abstract Machines', 'Parallel Computing', 'Functional Programming', 'Fundamentals of Digital Systems', 'Operating Systems'}"
Nelda Maldonado,"{'Introduction to Artificial Intelligence', 'Abstract Machines'}"
Kerri Fernandez,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Audio and Video Production', 'Parallel Computing', 'Introduction to Programming 1', 'Operating Systems'}"
Priscilla Wilson,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Artificial Intelligence', 'Abstract Machines'}"
Oscar Eaton,"{'Fundamentals of Digital Systems', 'Logic and Foundations of Mathematics', 'Introduction to Machine Learning'}"
Concetta Carlson,"{'Computer Systems', 'Introduction to Machine Learning', 'Abstract Machines', 'Functional Programming', 'Operating Systems'}"
Jimmie Brennan,"{'Introduction to Machine Learning', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Audio and Video Production', 'Functional Programming'}"
Vito Wu,"{'Logic and Reasoning in Computer Science', 'Argumentation and Proof', 'Introduction to Artificial Intelligence', 'Abstract Machines', 'Operating Systems', 'Functional Programming'}"
Dallas Mcconnell,"{'Argumentation and Proof', 'Introduction to Artificial Intelligence', 'Efficient Algorithms', 'Introduction to Programming 2'}"
Troy Sheppard,"{'Computer Systems', 'Logic and Reasoning in Computer Science', 'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Introduction to Programming 2', 'Audio and Video Production', 'Introduction to Programming 1'}"
Romeo Baldwin,"{'Argumentation and Proof', 'Computer Systems', 'Abstract Machines', 'Logic programming and constraints'}"
Terra Andrews,"{'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Abstract Machines', 'Operating Systems'}"
Rosemarie Larson,"{'Logic for Knowledge Representation', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Audio and Video Production', 'Parallel Computing', 'Operating Systems'}"
Leigh Holmes,"{'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Programming 2', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Fundamentals of Digital Systems', 'Logic programming and constraints'}"
Eliseo Hart,"{'Introduction to Machine Learning', 'Argumentation and Proof', 'Efficient Algorithms', 'Introduction to Visual Computing', 'Functional Programming'}"
Efrain Silva,"{'Argumentation and Proof', 'Introduction to Visual Computing', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Parallel Computing', 'Operating Systems'}"
Courtney Duncan,"{'Efficient Algorithms', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Logic programming and constraints'}"
Alastair Buckley,"{'Logic for Knowledge Representation', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Audio and Video Production', 'Parallel Computing', 'Introduction to Programming 1', 'Operating Systems'}"
Zahraa Fletcher,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Computer Systems', 'Argumentation and Proof', 'Introduction to Programming 2', 'Fundamentals of Digital Systems', 'Functional Programming', 'Operating Systems'}"
Uzair Welch,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Computer Systems', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Marc Foley,"{'Computer Systems', 'Introduction to Machine Learning', 'Abstract Machines', 'Parallel Computing', 'Operating Systems', 'Logic programming and constraints', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Samantha Meyers,"{'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Parallel Computing', 'Logic programming and constraints', 'Functional Programming'}"
Jenna Payne,"{'Programming Paradigms', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Efficient Algorithms', 'Fundamentals of Digital Systems'}"
Iona Alvarado,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Argumentation and Proof', 'Efficient Algorithms', 'Introduction to Programming 1'}"
Chaya Olsen,"{'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Audio and Video Production', 'Logic and Foundations of Mathematics', 'Parallel Computing', 'Functional Programming'}"
Jerry Sanchez,"{'Operating Systems', 'Functional Programming', 'Introduction to Machine Learning'}"
Amelie Cook,"{'Logic for Knowledge Representation', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Parallel Computing', 'Introduction to Programming 1'}"
Olive Contreras,"{'Introduction to Machine Learning', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Introduction to Programming 1', 'Operating Systems'}"
Nelson Caldwell,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Argumentation and Proof', 'Abstract Machines', 'Parallel Computing', 'Logic and Foundations of Mathematics'}"
Amy Rodriguez,"{'Functional Programming', 'Logic and Reasoning in Computer Science', 'Fundamentals of Digital Systems', 'Operating Systems'}"
Xanthe Barker,"{'Audio and Video Production', 'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Introduction to Programming 2'}"
Austin Webb,"{'Argumentation and Proof', 'Introduction to Visual Computing', 'Abstract Machines', 'Parallel Computing', 'Logic and Foundations of Mathematics'}"
Kye Marsh,"{'Logic programming and constraints', 'Algorithms and Data Structures', 'Logic and Foundations of Mathematics'}"
Penelope Rivas,"{'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Programming 2', 'Abstract Machines', 'Logic programming and constraints'}"
Layla Russell,"{'Logic for Knowledge Representation', 'Argumentation and Proof', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Abstract Machines'}"
Georgia May,"{'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Programming 2', 'Audio and Video Production', 'Functional Programming'}"
Jannat Pham,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Computer Systems', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Introduction to Artificial Intelligence'}"
Blake Prince,"{'Introduction to Programming 2', 'Algorithms and Data Structures', 'Functional Programming', 'Introduction to Machine Learning'}"
Yasmine Morales,"{'Efficient Algorithms', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Audio and Video Production', 'Introduction to Artificial Intelligence'}"
Samuel Dillon,"{'Algorithms and Data Structures', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Logic and Foundations of Mathematics', 'Parallel Computing', 'Functional Programming'}"
Daniella Pruitt,"{'Programming Paradigms', 'Argumentation and Proof', 'Computer Systems', 'Abstract Machines'}"
Raheem Jacobson,"{'Logic programming and constraints', 'Introduction to Programming 1', 'Introduction to Artificial Intelligence', 'Argumentation and Proof'}"
Lincoln Daugherty,"{'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Audio and Video Production', 'Parallel Computing', 'Logic and Foundations of Mathematics'}"
Seren Mullins,"{'Computer Systems', 'Efficient Algorithms', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Fundamentals of Digital Systems', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Roy Daniels,"{'Operating Systems', 'Introduction to Artificial Intelligence', 'Functional Programming', 'Abstract Machines'}"
Ricardo Quinn,"{'Audio and Video Production', 'Argumentation and Proof', 'Efficient Algorithms', 'Logic programming and constraints'}"
Talha Cain,"{'Computer Systems', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Operating Systems'}"
John Nguyen,"{'Fundamentals of Digital Systems', 'Computer Systems', 'Operating Systems'}"
Freddy Carson,"{'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Logic and Foundations of Mathematics'}"
Ricky Byrne,"{'Logic for Knowledge Representation', 'Introduction to Machine Learning', 'Introduction to Artificial Intelligence', 'Abstract Machines', 'Functional Programming'}"
Kobe Cooke,"{'Introduction to Visual Computing', 'Audio and Video Production', 'Functional Programming'}"
Subhan Hernandez,"{'Logic and Reasoning in Computer Science', 'Introduction to Programming 2', 'Audio and Video Production', 'Introduction to Programming 1', 'Functional Programming'}"
Ridwan Rangel,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Efficient Algorithms', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Logic and Foundations of Mathematics'}"
Kajus Roberson,"{'Introduction to Artificial Intelligence', 'Operating Systems', 'Abstract Machines'}"
Gavin Poole,"{'Introduction to Programming 2', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Parallel Computing'}"
Humza Fitzpatrick,"{'Operating Systems', 'Introduction to Artificial Intelligence', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning'}"
Yasin Bush,"{'Programming Paradigms', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Audio and Video Production', 'Parallel Computing', 'Functional Programming', 'Logic and Foundations of Mathematics'}"
Sinead Peck,"{'Logic and Reasoning in Computer Science', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Operating Systems', 'Functional Programming'}"
Kenny Ware,"{'Logic for Knowledge Representation', 'Logic and Reasoning in Computer Science', 'Efficient Algorithms', 'Introduction to Programming 2', 'Parallel Computing', 'Introduction to Programming 1', 'Functional Programming'}"
Brendon Martin,"{'Logic and Reasoning in Computer Science', 'Introduction to Visual Computing', 'Operating Systems', 'Fundamentals of Digital Systems', 'Functional Programming'}"
Glenn Rich,"{'Programming Paradigms', 'Computer Systems', 'Efficient Algorithms', 'Audio and Video Production', 'Abstract Machines', 'Logic programming and constraints', 'Functional Programming'}"
Zane Glenn,"{'Fundamentals of Digital Systems', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Abstract Machines'}"
Ronald Cooper,"{'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Audio and Video Production', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Logic programming and constraints'}"
Gail Matthews,"{'Programming Paradigms', 'Argumentation and Proof', 'Efficient Algorithms', 'Introduction to Programming 2', 'Introduction to Artificial Intelligence', 'Introduction to Programming 1', 'Operating Systems'}"
Otto Skinner,"{'Logic for Knowledge Representation', 'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Audio and Video Production', 'Abstract Machines', 'Parallel Computing', 'Logic programming and constraints'}"
Ella Ochoa,"{'Introduction to Visual Computing', 'Programming Paradigms', 'Logic and Foundations of Mathematics', 'Efficient Algorithms'}"
