Student,Courses
Jessie Bauer,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Functional Programming', 'Logic programming and constraints'}"
Irvin Rice,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Audio and Video Production', 'Abstract Machines', 'Logic programming and constraints'}"
Alfred Rich,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Argumentation and Proof', 'Efficient Algorithms', 'Introduction to Artificial Intelligence'}"
Frances Salas,"{'Logic for Knowledge Representation', 'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Audio and Video Production', 'Parallel Computing', 'Logic programming and constraints'}"
Lucien Monroe,"{'Algorithms and Data Structures', 'Computer Systems', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Logic and Foundations of Mathematics'}"
Jewel Nolan,"{'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Introduction to Programming 2', 'Audio and Video Production', 'Abstract Machines', 'Parallel Computing', 'Introduction to Programming 1'}"
Stefanie Huang,"{'Logic for Knowledge Representation', 'Computer Systems', 'Operating Systems', 'Abstract Machines'}"
Nadine Mckee,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Argumentation and Proof', 'Efficient Algorithms', 'Abstract Machines', 'Functional Programming'}"
Jason Williams,"{'Logic for Knowledge Representation', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Visual Computing', 'Logic programming and constraints'}"
Rachel Santiago,"{'Algorithms and Data Structures', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Fundamentals of Digital Systems', 'Introduction to Programming 1'}"
Jarrett Dodson,"{'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Audio and Video Production'}"
Benito Cherry,"{'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Audio and Video Production', 'Abstract Machines', 'Parallel Computing', 'Logic and Foundations of Mathematics'}"
Pierre Galloway,"{'Computer Systems', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Functional Programming', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Dorian Barber,"{'Computer Systems', 'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Logic and Foundations of Mathematics', 'Functional Programming'}"
Taylor Zamora,"{'Efficient Algorithms', 'Logic and Foundations of Mathematics', 'Operating Systems', 'Introduction to Programming 1', 'Functional Programming'}"
Joanna Wells,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Computer Systems', 'Efficient Algorithms', 'Abstract Machines', 'Operating Systems', 'Functional Programming'}"
Ida Barker,"{'Logic for Knowledge Representation', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Logic programming and constraints', 'Introduction to Programming 1', 'Operating Systems'}"
Fabian George,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Audio and Video Production', 'Fundamentals of Digital Systems', 'Operating Systems'}"
Deirdre Rojas,"{'Programming Paradigms', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Logic programming and constraints', 'Functional Programming'}"
Alvaro Sweeney,"{'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Logic programming and constraints', 'Functional Programming'}"
Roy Reese,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Introduction to Visual Computing', 'Functional Programming', 'Logic programming and constraints', 'Operating Systems'}"
Jewell Holt,"{'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Introduction to Programming 2', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Parallel Computing'}"
Quentin Ibarra,"{'Algorithms and Data Structures', 'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Logic and Foundations of Mathematics', 'Parallel Computing', 'Introduction to Programming 1', 'Functional Programming'}"
Alfonso Hayes,"{'Computer Systems', 'Introduction to Artificial Intelligence', 'Operating Systems', 'Logic programming and constraints', 'Introduction to Programming 1', 'Functional Programming'}"
Jeannine Mckee,"{'Computer Systems', 'Algorithms and Data Structures', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Audio and Video Production', 'Abstract Machines', 'Introduction to Programming 1'}"
Claudine Morales,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Introduction to Artificial Intelligence', 'Parallel Computing'}"
Judith Choi,"{'Logic and Reasoning in Computer Science', 'Abstract Machines', 'Parallel Computing', 'Logic programming and constraints', 'Functional Programming'}"
Thanh Villanueva,"{'Computer Systems', 'Introduction to Visual Computing', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Fundamentals of Digital Systems', 'Logic programming and constraints', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Beatrice Daniel,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Efficient Algorithms', 'Audio and Video Production', 'Fundamentals of Digital Systems', 'Introduction to Programming 1', 'Operating Systems'}"
Henrietta Watts,"{'Computer Systems', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Logic programming and constraints', 'Logic and Foundations of Mathematics'}"
Brandon Sims,"{'Programming Paradigms', 'Operating Systems', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Efficient Algorithms', 'Abstract Machines', 'Parallel Computing', 'Functional Programming', 'Logic programming and constraints', 'Logic and Foundations of Mathematics'}"
Renee Stanley,"{'Operating Systems', 'Algorithms and Data Structures', 'Computer Systems', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Functional Programming', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Lessie Tate,"{'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Audio and Video Production', 'Abstract Machines', 'Introduction to Programming 1'}"
Kasey Gardner,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Logic programming and constraints', 'Operating Systems'}"
Lawanda Davila,"{'Computer Systems', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Logic and Foundations of Mathematics', 'Introduction to Programming 1', 'Operating Systems'}"
Stefanie Warren,"{'Introduction to Visual Computing', 'Programming Paradigms', 'Fundamentals of Digital Systems', 'Introduction to Machine Learning'}"
Hannah Riley,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Introduction to Visual Computing', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Fundamentals of Digital Systems', 'Logic and Foundations of Mathematics'}"
Lizzie Simpson,"{'Computer Systems', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Logic programming and constraints', 'Logic and Foundations of Mathematics'}"
Oliver York,"{'Introduction to Visual Computing', 'Abstract Machines', 'Operating Systems', 'Logic programming and constraints', 'Logic and Foundations of Mathematics'}"
Kaitlin Ramirez,"{'Algorithms and Data Structures', 'Abstract Machines', 'Operating Systems', 'Fundamentals of Digital Systems', 'Introduction to Programming 1', 'Functional Programming'}"
Vince Mcneil,"{'Programming Paradigms', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Logic programming and constraints', 'Logic and Foundations of Mathematics'}"
Lorene Santos,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Audio and Video Production', 'Abstract Machines', 'Parallel Computing', 'Logic programming and constraints'}"
Shana Cuevas,"{'Programming Paradigms', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Logic programming and constraints', 'Logic and Foundations of Mathematics'}"
Cary Hebert,"{'Logic for Knowledge Representation', 'Efficient Algorithms', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Fundamentals of Digital Systems'}"
Ike Mullins,"{'Logic for Knowledge Representation', 'Efficient Algorithms', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Operating Systems'}"
Devon Irwin,"{'Programming Paradigms', 'Computer Systems', 'Argumentation and Proof', 'Abstract Machines', 'Operating Systems', 'Logic and Foundations of Mathematics'}"
Ervin Bean,"{'Computer Systems', 'Logic and Reasoning in Computer Science', 'Efficient Algorithms', 'Introduction to Programming 2', 'Abstract Machines', 'Parallel Computing', 'Introduction to Programming 1', 'Functional Programming'}"
Brendan Hahn,"{'Programming Paradigms', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Visual Computing', 'Abstract Machines', 'Parallel Computing', 'Functional Programming', 'Operating Systems'}"
Nelda Maldonado,"{'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Functional Programming', 'Logic and Foundations of Mathematics'}"
Kerri Fernandez,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Audio and Video Production', 'Parallel Computing', 'Introduction to Programming 1'}"
Priscilla Wilson,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Audio and Video Production', 'Introduction to Artificial Intelligence'}"
Oscar Eaton,"{'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Efficient Algorithms', 'Logic and Foundations of Mathematics'}"
Concetta Carlson,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Introduction to Visual Computing', 'Abstract Machines', 'Functional Programming', 'Operating Systems'}"
Jimmie Brennan,"{'Introduction to Machine Learning', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Abstract Machines', 'Functional Programming'}"
Vito Wu,"{'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Argumentation and Proof', 'Abstract Machines', 'Operating Systems', 'Functional Programming'}"
Dallas Mcconnell,"{'Argumentation and Proof', 'Introduction to Artificial Intelligence', 'Efficient Algorithms', 'Introduction to Programming 2'}"
Troy Sheppard,"{'Computer Systems', 'Logic and Reasoning in Computer Science', 'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Introduction to Programming 2', 'Audio and Video Production', 'Introduction to Programming 1'}"
Romeo Baldwin,"{'Argumentation and Proof', 'Computer Systems', 'Abstract Machines', 'Logic programming and constraints'}"
Terra Andrews,"{'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Abstract Machines', 'Functional Programming'}"
Rosemarie Larson,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Audio and Video Production', 'Parallel Computing'}"
Leigh Holmes,"{'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Logic programming and constraints', 'Introduction to Programming 1', 'Functional Programming'}"
Eliseo Hart,"{'Programming Paradigms', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Functional Programming'}"
Efrain Silva,"{'Introduction to Visual Computing', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Parallel Computing', 'Introduction to Programming 1', 'Operating Systems'}"
Courtney Duncan,"{'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Logic programming and constraints'}"
Alastair Buckley,"{'Logic for Knowledge Representation', 'Introduction to Visual Computing', 'Audio and Video Production', 'Parallel Computing', 'Introduction to Programming 1', 'Operating Systems'}"
Zahraa Fletcher,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Computer Systems', 'Argumentation and Proof', 'Efficient Algorithms', 'Introduction to Programming 2', 'Functional Programming', 'Operating Systems'}"
Uzair Welch,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Logic and Foundations of Mathematics'}"
Marc Foley,"{'Computer Systems', 'Introduction to Machine Learning', 'Abstract Machines', 'Parallel Computing', 'Logic programming and constraints', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Samantha Meyers,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Parallel Computing', 'Functional Programming'}"
Jenna Payne,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Efficient Algorithms', 'Audio and Video Production', 'Abstract Machines', 'Logic programming and constraints'}"
Iona Alvarado,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Computer Systems', 'Algorithms and Data Structures', 'Argumentation and Proof', 'Efficient Algorithms'}"
Chaya Olsen,"{'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Logic and Foundations of Mathematics', 'Parallel Computing', 'Functional Programming'}"
Jerry Sanchez,"{'Functional Programming', 'Operating Systems', 'Efficient Algorithms'}"
Amelie Cook,"{'Logic for Knowledge Representation', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Logic programming and constraints', 'Introduction to Programming 1'}"
Olive Contreras,"{'Computer Systems', 'Efficient Algorithms', 'Audio and Video Production', 'Abstract Machines', 'Operating Systems', 'Logic programming and constraints', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Nelson Caldwell,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Abstract Machines', 'Parallel Computing', 'Logic and Foundations of Mathematics'}"
Amy Rodriguez,"{'Logic and Reasoning in Computer Science', 'Logic and Foundations of Mathematics', 'Functional Programming', 'Operating Systems'}"
Xanthe Barker,"{'Programming Paradigms', 'Audio and Video Production', 'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science'}"
Austin Webb,"{'Computer Systems', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Abstract Machines', 'Logic and Foundations of Mathematics'}"
Kye Marsh,"{'Algorithms and Data Structures', 'Introduction to Visual Computing', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Introduction to Programming 1', 'Operating Systems'}"
Penelope Rivas,"{'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Audio and Video Production', 'Abstract Machines', 'Logic programming and constraints'}"
Layla Russell,"{'Logic for Knowledge Representation', 'Audio and Video Production', 'Argumentation and Proof', 'Abstract Machines'}"
Georgia May,"{'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Programming 2', 'Introduction to Artificial Intelligence', 'Introduction to Programming 1', 'Functional Programming'}"
Jannat Pham,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Computer Systems', 'Introduction to Machine Learning', 'Efficient Algorithms'}"
Blake Prince,"{'Algorithms and Data Structures', 'Computer Systems', 'Introduction to Machine Learning', 'Introduction to Artificial Intelligence', 'Functional Programming'}"
Yasmine Morales,"{'Efficient Algorithms', 'Introduction to Programming 2', 'Audio and Video Production', 'Introduction to Artificial Intelligence', 'Logic programming and constraints'}"
Samuel Dillon,"{'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Introduction to Artificial Intelligence', 'Parallel Computing', 'Functional Programming', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Daniella Pruitt,"{'Programming Paradigms', 'Argumentation and Proof', 'Computer Systems', 'Abstract Machines'}"
Raheem Jacobson,"{'Logic programming and constraints', 'Introduction to Programming 1', 'Introduction to Artificial Intelligence', 'Argumentation and Proof'}"
Lincoln Daugherty,"{'Computer Systems', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Audio and Video Production', 'Parallel Computing', 'Logic and Foundations of Mathematics'}"
Seren Mullins,"{'Computer Systems', 'Efficient Algorithms', 'Audio and Video Production', 'Fundamentals of Digital Systems', 'Introduction to Programming 1', 'Logic and Foundations of Mathematics'}"
Roy Daniels,"{'Logic for Knowledge Representation', 'Algorithms and Data Structures', 'Argumentation and Proof', 'Efficient Algorithms', 'Introduction to Artificial Intelligence', 'Operating Systems', 'Functional Programming'}"
Ricardo Quinn,"{'Audio and Video Production', 'Argumentation and Proof', 'Efficient Algorithms', 'Logic programming and constraints'}"
Talha Cain,"{'Computer Systems', 'Argumentation and Proof', 'Introduction to Programming 2', 'Introduction to Visual Computing', 'Introduction to Artificial Intelligence', 'Operating Systems'}"
John Nguyen,"{'Programming Paradigms', 'Computer Systems', 'Introduction to Visual Computing', 'Logic and Foundations of Mathematics', 'Operating Systems'}"
Freddy Carson,"{'Fundamentals of Digital Systems', 'Logic and Foundations of Mathematics', 'Efficient Algorithms', 'Abstract Machines'}"
Ricky Byrne,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Abstract Machines', 'Functional Programming'}"
Kobe Cooke,"{'Logic and Reasoning in Computer Science', 'Introduction to Visual Computing', 'Audio and Video Production', 'Parallel Computing', 'Logic and Foundations of Mathematics'}"
Subhan Hernandez,"{'Logic and Reasoning in Computer Science', 'Introduction to Programming 2', 'Introduction to Artificial Intelligence', 'Functional Programming', 'Introduction to Programming 1', 'Operating Systems'}"
Ridwan Rangel,"{'Programming Paradigms', 'Algorithms and Data Structures', 'Efficient Algorithms', 'Abstract Machines', 'Parallel Computing', 'Logic and Foundations of Mathematics'}"
Kajus Roberson,"{'Functional Programming', 'Introduction to Artificial Intelligence', 'Operating Systems', 'Parallel Computing'}"
Gavin Poole,"{'Programming Paradigms', 'Computer Systems', 'Efficient Algorithms', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Parallel Computing', 'Functional Programming'}"
Humza Fitzpatrick,"{'Logic for Knowledge Representation', 'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Argumentation and Proof', 'Introduction to Artificial Intelligence', 'Operating Systems'}"
Yasin Bush,"{'Programming Paradigms', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Algorithms and Data Structures', 'Introduction to Machine Learning', 'Efficient Algorithms', 'Parallel Computing', 'Functional Programming', 'Logic and Foundations of Mathematics'}"
Sinead Peck,"{'Logic and Reasoning in Computer Science', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Logic and Foundations of Mathematics', 'Abstract Machines', 'Operating Systems', 'Functional Programming'}"
Kenny Ware,"{'Logic for Knowledge Representation', 'Computer Systems', 'Logic and Reasoning in Computer Science', 'Efficient Algorithms', 'Parallel Computing', 'Introduction to Programming 1', 'Functional Programming'}"
Brendon Martin,"{'Algorithms and Data Structures', 'Logic and Reasoning in Computer Science', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Operating Systems', 'Functional Programming', 'Logic and Foundations of Mathematics'}"
Glenn Rich,"{'Programming Paradigms', 'Computer Systems', 'Efficient Algorithms', 'Abstract Machines', 'Logic programming and constraints', 'Functional Programming'}"
Zane Glenn,"{'Logic for Knowledge Representation', 'Introduction to Visual Computing', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Introduction to Programming 1', 'Functional Programming'}"
Ronald Cooper,"{'Programming Paradigms', 'Logic and Reasoning in Computer Science', 'Audio and Video Production', 'Abstract Machines', 'Fundamentals of Digital Systems', 'Logic programming and constraints'}"
Gail Matthews,"{'Programming Paradigms', 'Computer Systems', 'Argumentation and Proof', 'Efficient Algorithms', 'Introduction to Programming 2', 'Introduction to Artificial Intelligence', 'Operating Systems'}"
Otto Skinner,"{'Logic for Knowledge Representation', 'Introduction to Machine Learning', 'Introduction to Visual Computing', 'Audio and Video Production', 'Abstract Machines', 'Parallel Computing', 'Logic programming and constraints'}"
Ella Ochoa,"{'Programming Paradigms', 'Introduction to Machine Learning', 'Argumentation and Proof', 'Introduction to Visual Computing', 'Audio and Video Production', 'Abstract Machines', 'Logic and Foundations of Mathematics'}"
